City,Bureau of Meteorology station number,Year,Month,Day,Date,Latitude,Longitude,Maximum temperature (Degree C),Minimum temperature (Degree C),Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres)
Melbourne,86338,2019,12,18,2019-12-18 00:00:00 UTC,-37.83,144.98,40.1,15.9,29.3,0
Adelaide,23000,2019,12,17,2019-12-17 00:00:00 UTC,-34.92,138.6,42.1,19.6,30.7,0
Perth,9225,2019,12,17,2019-12-17 00:00:00 UTC,-31.96,115.79,34.3,19.8,31.3,0
Sydney,66214,2019,12,17,2019-12-17 00:00:00 UTC,-33.86,151.21,26.5,16.4,31.2,0
Brisbane,40913,2019,12,17,2019-12-17 00:00:00 UTC,-27.48,153.04,29.1,20.9,29.6,0
Melbourne,86338,2019,12,17,2019-12-17 00:00:00 UTC,-37.83,144.98,26.3,12.6,29.5,0
Adelaide,23000,2019,12,16,2019-12-16 00:00:00 UTC,-34.92,138.6,34.1,14.8,32.1,0
Perth,9225,2019,12,16,2019-12-16 00:00:00 UTC,-31.96,115.79,38.5,21.6,31.7,0
Sydney,66214,2019,12,16,2019-12-16 00:00:00 UTC,-33.86,151.21,24,19.3,20.1,0
Brisbane,40913,2019,12,16,2019-12-16 00:00:00 UTC,-27.48,153.04,41.2,23.5,30.9,0
Melbourne,86338,2019,12,16,2019-12-16 00:00:00 UTC,-37.83,144.98,22.6,13,21.7,0
Adelaide,23000,2019,12,15,2019-12-15 00:00:00 UTC,-34.92,138.6,30.2,12.4,32,0
Perth,9225,2019,12,15,2019-12-15 00:00:00 UTC,-31.96,115.79,40.9,21.8,31.8,0
Sydney,66214,2019,12,15,2019-12-15 00:00:00 UTC,-33.86,151.21,28.8,20.3,21.1,0
Brisbane,40913,2019,12,15,2019-12-15 00:00:00 UTC,-27.48,153.04,31.9,23.9,30.2,0
Melbourne,86338,2019,12,15,2019-12-15 00:00:00 UTC,-37.83,144.98,21.7,15.1,16.4,0
Adelaide,23000,2019,12,14,2019-12-14 00:00:00 UTC,-34.92,138.6,23.2,13.7,29.4,0
Perth,9225,2019,12,14,2019-12-14 00:00:00 UTC,-31.96,115.79,41,21.1,31.9,0
Sydney,66214,2019,12,14,2019-12-14 00:00:00 UTC,-33.86,151.21,28.1,19,27.2,0
Brisbane,40913,2019,12,14,2019-12-14 00:00:00 UTC,-27.48,153.04,30.7,20.4,28.2,26.6
Melbourne,86338,2019,12,14,2019-12-14 00:00:00 UTC,-37.83,144.98,20.1,14.1,10.4,0
Adelaide,23000,2019,12,13,2019-12-13 00:00:00 UTC,-34.92,138.6,20.9,12.7,30,0
Perth,9225,2019,12,13,2019-12-13 00:00:00 UTC,-31.96,115.79,40.1,20.7,31.8,0
Sydney,66214,2019,12,13,2019-12-13 00:00:00 UTC,-33.86,151.21,24.8,18.2,19.3,0.2
Brisbane,40913,2019,12,13,2019-12-13 00:00:00 UTC,-27.48,153.04,30.6,22.9,18.1,0
Melbourne,86338,2019,12,13,2019-12-13 00:00:00 UTC,-37.83,144.98,20.9,11.4,24.8,0
Adelaide,23000,2019,12,12,2019-12-12 00:00:00 UTC,-34.92,138.6,23.3,14.3,31.9,0
Perth,9225,2019,12,12,2019-12-12 00:00:00 UTC,-31.96,115.79,39,20,31.7,0
Sydney,66214,2019,12,12,2019-12-12 00:00:00 UTC,-33.86,151.21,23.6,18.2,15.4,0
Brisbane,40913,2019,12,12,2019-12-12 00:00:00 UTC,-27.48,153.04,31.3,19.1,29.9,130.4
Melbourne,86338,2019,12,12,2019-12-12 00:00:00 UTC,-37.83,144.98,18.4,13.4,22.7,0
Adelaide,23000,2019,12,11,2019-12-11 00:00:00 UTC,-34.92,138.6,26.3,10.8,31.8,0
Perth,9225,2019,12,11,2019-12-11 00:00:00 UTC,-31.96,115.79,37.6,18.5,31.8,0
Sydney,66214,2019,12,11,2019-12-11 00:00:00 UTC,-33.86,151.21,24.3,18.1,14.6,0
